item_no,quantity,unit,description,menu_types,tax,unit_price,amount,date,produce_company,size,invoice_no,month,num_days
238,2.0,each,K Loaf Lemon Cut,Pastry,N,$6.96,$13.92,6/4/2021,Pastry1,No Size,352926,6,30
602,0.5,doz,P Ind. Carrot Cake,Pastry,N,$35.40,$17.70,6/4/2021,Pastry1,No Size,352926,6,30
622,0.5,doz,P Ind. Lava Cake,Pastry,N,$31.80,$15.90,6/4/2021,Pastry1,No Size,352926,6,30
115,1.0,doz,K Bars Old Fashion Lemon,Pastry,N,$13.92,$13.92,6/4/2021,Pastry1,No Size,352926,6,30
312,1.0,doz,K Cookies Peanut Butter Chocolate,Pastry,N,$12.00,$12.00,6/4/2021,Pastry1,No Size,352926,6,30
303,0.5,doz,K Cookies Gingersnap,Pastry,N,$12.00,$6.00,6/4/2021,Pastry1,No Size,352926,6,30
300,0.5,doz,K Cookies Chocolate Chunk,Pastry,N,$12.00,$6.00,6/4/2021,Pastry1,No Size,352926,6,30
101,0.5,doz,K GF Bar Belgian Brownies,Pastry,N,$14.40,$7.20,6/4/2021,Pastry1,No Size,352926,6,30
No_Item_No,1.0,No Unit,Safeway Kengsinton glocery,Drinks,N,$43.09,$43.09,6/6/21,Grocery2,No Size,No_Invoice_No,6,30
TT-PHCL-D90B,1.0,CS,DOME LID for 10-24oz PAPER HOT CUPT BLACK 90mm,Drinks,G,$37.03,$38.88,6/7/2021,Produce6,1000/CS,192488,6,30
TT-CU-6FRK,1.0,CS,"PLASTIC FORK 6""",Others,G,$10.45,$10.97,6/7/2021,Produce6,1000/CS,192488,6,30
TT-SWB-SWG,1.0,CS,"GREASEPROOF SANDWICH BAG (WHITE) 6X0.75X6.75""",Food,G,$19.61,$20.59,6/7/2021,Produce6,1000/CS,192488,6,30
EARTH'S OWN-B,12.0,CS,EARTH'S OWN OAT - BARISTA BLEND 946ML,Drinks,N,$3.80,$45.60,6/7/2021,Produce6,12/CS,192488,6,30
TT-KBI20W,1.0,BDL,"WHITE PAPER BAG - HEAVY - 8.19X5.06X15.88""",Others,G,$48.00,$50.40,6/7/2021,Produce6,500/BDL,192488,6,30
MON-VAN,2.0,BTL,MONIN - VANILLA SYRUP (750ml),Drinks,N,$8.80,$17.60,6/7/2021,Produce6,12/CS,192488,6,30
MON-CAR,2.0,BTL,MONIN - CARAMEL SYRUP (750ml),Drinks,N,$8.80,$17.60,6/7/2021,Produce6,12/CS,192488,6,30
No_Item_No,3.0,bag,Red ONION Jumbo US 5# bag,Food,N,$4.50,$13.50,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,4.0,pkg,Tomato Cheery Mex 1 pt,Food,N,$4.10,$16.40,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,12.0,pound,**40 HEADS** Roma Tomato Mex / pound,Food,N,$1.85,$22.20,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,1.0,case,Arrugula/Rucola/Rockets Uca 4X1# yvr,Food,N,$46.95,$46.95,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,1.0,case,Avocado Hass 20 **Turning*,Food,N,$32.60,$32.60,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,1.0,case,Eggs Large white 15dz / case,Food,N,$55.65,$55.65,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,1.0,bag,FROZ Blueberries Alasko 1K,Drinks,N,$7.95,$7.95,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,1.0,bag,FROZ Strawberry Alasko 1K,Drinks,N,$4.95,$4.95,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,6/8/2021,Produce1,No Size,907383,6,30
No_Item_No,1.0,No Unit,Shoppers Kengsinton,Others,N,$13.40,$13.40,6/8/2021,Tool4,No Size,No_Invoice_No,6,30
TT-PHC-16W,1.0,CS,PAPER HOT CUP - WHITE 16oz,Drinks,G,$75.64,$79.42,6/8/2021,Produce6,1000/CS,192691,6,30
EP-STIR7,1.0,BX,"WOODEN STIR STICKS 7""",Drinks,G,$5.10,$5.36,6/8/2021,Produce6,"1000/BOX, 10BOX/CS",192691,6,30
MON-HAZ,1.0,BTL,MONIN - HAZELNUT SYRUP (750ml),Drinks,N,$8.80,$8.80,6/8/2021,Produce6,12/CS,192691,6,30
TT-HTB98FL,1.0,CS,PETE FLAT LID (for 14/16/20/24oz) 98mm,Drinks,G,$32.70,$34.34,6/8/2021,Produce6,1000/CS,192691,6,30
EP-STR775,1.0,BX,"COMPOSTABLE STRAW - BLACK 7.75""X7mm",Drinks,G,$12.93,$13.58,6/8/2021,Produce6,"600/BOX, 12BX/CS",192691,6,30
No_Item_No,12.0,No Unit,Diabolique Espresso Wholesale lbs,Drinks,N,$11.00,$132.00,6/9/2021,Coffee3,No Size,34543,6,30
No_Item_No,12.0,No Unit,The Perfect Storm Wholesale lbs,Drinks,N,$11.00,$132.00,6/9/2021,Coffee3,No Size,34543,6,30
No_Item_No,1.0,No Unit,Decaf Wholesale lbs,Drinks,N,$12.50,$12.50,6/9/2021,Coffee3,No Size,34543,6,30
No_Item_No,1.0,No Unit,Safeway Kengsinton glocery,Drinks,N,$25.73,$25.73,6/9/2021,Grocery2,No Size,No_Invoice_No,6,30
WS01786,3.0,No Unit,MPL LF SHREDDED CHICKEN 4X1,Food,N,$100.46,$301.38,6/10/2021,Meat1,135KG/CS,36753,6,30
WS33678,1.0,No Unit,fuel surcharge,Food,G,$5.99,$6.29,6/10/2021,Meat1,No Size,36753,6,30
No_Item_No,4.0,bunch,Green Kale Mex / bunch,Food,N,$1.35,$5.40,6/10/2021,Produce1,No Size,907665,6,30
No_Item_No,1.0,lot,Spring Mix UCa 2x1# yvr pt,Food,N,$16.95,$16.95,6/10/2021,Produce1,No Size,907665,6,30
No_Item_No,2.0,bag,Jumbo Onion UWa #5 bag,Food,N,$2.50,$5.00,6/10/2021,Produce1,No Size,907665,6,30
No_Item_No,2.0,bag,Red ONION Jumbo US 5# bag,Food,N,$4.50,$9.00,6/10/2021,Produce1,No Size,907665,6,30
No_Item_No,3.0,pkg,Tomato Cheery Mex 1 pt,Food,N,$4.10,$12.30,6/10/2021,Produce1,No Size,907665,6,30
No_Item_No,1.0,case,Avocado Hass 20 **Turning*,Food,N,$32.60,$32.60,6/10/2021,Produce1,No Size,907665,6,30
No_Item_No,1.0,case,Eggs Large white 15dz / case,Food,N,$55.65,$55.65,6/10/2021,Produce1,No Size,907665,6,30
No_Item_No,1.0,jug,4 Monks Red Wine vinegar 3.78L tol,Food,N,$11.75,$11.75,6/10/2021,Produce1,No Size,907665,6,30
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,6/10/2021,Produce1,No Size,907665,6,30
CBR20215,1.0,No Unit,SNOWCAP PREMIUM BAKING SPRAY,Others,N,$37.43,$37.43,6/11/2021,Produce4,6/16oz,71653831,6,30
CA72,1.0,No Unit,MILK CALLETS BELGIUM,Drinks,N,$28.75,$28.75,6/11/2021,Produce4,2.5kg,71653831,6,30
CA71,1.0,No Unit,DARK CHOCOLATE CALLETS,Drinks,N,$26.50,$26.50,6/11/2021,Produce4,2.5kg,71653831,6,30
BSHIND2,1.0,No Unit,GUYS-INDIA CURRIED LENTIL SOUP STRUDEL SPINACH & FETA RTB,Food,N,$37.85,$37.85,6/11/2021,Produce4,4/64oz,71653831,6,30
BR52400,1.0,No Unit,STRUDEL SPINACH & FETA RTB,Pastry,N,$64.65,$64.65,6/11/2021,Produce4,36/110g,71653831,6,30
SN01603,1.0,No Unit,MUFF BATT ORANGE DATE 19710,Pastry,N,$27.25,$27.25,6/11/2021,Produce4,16lb,71653831,6,30
STY5719,1.0,No Unit,BREAD SOURDOUGH HALF LOAF,Food,N,$35.40,$35.40,6/11/2021,Produce4,16/460g,71653831,6,30
STY2793,1.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$30.23,$30.23,6/11/2021,Produce4,8x8/85g,71653831,6,30
GSVR02,1.0,No Unit,CROISSANT LARGE RTB BUTTER,Pastry,N,$61.57,$61.57,6/11/2021,Produce4,80/65g,71653831,6,30
No_Item_No,1.0,No Unit,fuel surcharge,Food,G,$4.73,$4.73,6/11/2021,Produce4,No Size,71653831,6,30
MON-VAN,2.0,BTL,MONIN - VANILLA SYRUP (750ml),Drinks,N,$8.80,$17.60,6/11/2021,Produce6,12/CS,193208,6,30
MON-PEA,1.0,BTL,MONIN - PEACH SYRUP (750ML),Drinks,N,$8.80,$8.80,6/11/2021,Produce6,12/CS,193208,6,30
PT-MFTK0905,1.0,CS,MOTIF MULTIFOLD TOWEL (KRAFT),Others,S,$26.39,$29.56,6/11/2021,Produce6,4008/CS,193165,6,30
TT-NI1308W,1.0,CS,INTER-FOLD NAPKIN (WHITE),Others,G,$48.56,$50.99,6/11/2021,Produce6,6000/CS,193165,6,30
TT-PCJJ-PLN,1.0,CS,INSULATED PAPER CUP SLEEVE - PLAIN,Drinks,G,$40.55,$42.58,6/11/2021,Produce6,1000/CS,193165,6,30
238,2.0,each,K Loaf Lemon Cut,Pastry,N,$6.96,$13.92,6/11/2021,Pastry1,No Size,353053,6,30
101,0.5,doz,K GF Bar Belgian Brownies,Pastry,N,$14.40,$7.20,6/11/2021,Pastry1,No Size,353053,6,30
312,1.0,doz,K Cookies Peanut Butter Chocolate,Pastry,N,$12.00,$12.00,6/11/2021,Pastry1,No Size,353053,6,30
115,1.0,doz,K Bars Old Fashion Lemon,Pastry,N,$13.92,$13.92,6/11/2021,Pastry1,No Size,353053,6,30
132,1.0,doz,K Bars blueberry oat,Pastry,N,$12.00,$12.00,6/11/2021,Pastry1,No Size,353053,6,30
622,1.0,doz,P Ind. Lava Cake,Pastry,N,$31.80,$31.80,6/11/2021,Pastry1,No Size,353053,6,30
57,2.0,each,K Loaf Red Velvet Cut,Pastry,N,$6.96,$13.92,6/11/2021,Pastry1,No Size,353053,6,30
202,2.0,each,K Loaf Banana Cut,Pastry,N,$6.09,$12.18,6/11/2021,Pastry1,No Size,353053,6,30
602,0.5,doz,P Ind. Carrot Cake,Pastry,N,$35.40,$17.70,6/11/2021,Pastry1,No Size,353053,6,30
155,1.0,each,K GF Loaf Chocolate Pecan Cut 9,Pastry,N,$9.90,$9.90,6/11/2021,Pastry1,No Size,353053,6,30
315,0.5,doz,K Cookies Sexy Dark Chocolate,Pastry,N,$12.00,$6.00,6/11/2021,Pastry1,No Size,353053,6,30
781,0.5,doz,"P GF Tartlets 4"" Venus Hazelnut",Pastry,N,$25.20,$12.60,6/11/2021,Pastry1,No Size,353053,6,30
No_Item_No,6.0,No Unit,"SUB BUNS 8""",Food,N,$4.45,$53.40,6/11/2021,Bread2,No Size,No_Invoice_No,6,30
No_Item_No,1.0,No Unit,Safeway Kengsinton glocery,Drinks,N,$63.58,$63.58,6/12/2021,Grocery2,No Size,No_Invoice_No,6,30
1600755,6.0,No Unit,CHEESE PROVOLONE slices 21 gm,Food,N,$47.48,$284.88,6/14/2021,Produce3,168gm 12 units,1351827,6,30
1277581,1.0,No Unit,HAM PROSCIUTTO SLI DELI,Food,N,$113.43,$113.43,6/14/2021,Produce3,500gr 6 units,1351827,6,30
189334,1.0,No Unit,GUACAMOLE ZESTY,Food,N,$67.98,$67.98,6/14/2021,Produce3,1lb 12 units,1351827,6,30
2485753,1.0,No Unit,JUICE ORANGE NO SUGAR ADDED + BOTTLE DEPOSIT + RECYCLING FEE,Drinks,N,$22.78,$22.78,6/14/2021,Produce3,300ml 24 unit,1351827,6,30
7303324,1.0,No Unit,OIL OLIVE POMACE CAN,Food,N,$16.68,$16.68,6/14/2021,Produce3,3l 1 unit,1351827,6,30
8587412,1.0,No Unit,SPICE PICKLING,Food,N,$11.15,$11.15,6/14/2021,Produce3,1lb 1 unit,1351827,6,30
No_Item_No,1.0,No Unit,fuel surcharge,Food,G,$11.26,$11.26,6/14/2021,Produce3,No Size,1351827,6,30
No_Item_No,3.0,bag,Red ONION Jumbo US 5# bag,Food,N,$4.75,$14.25,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,1.0,bag,Red Pepper HH BC 3# bag,Food,N,$6.60,$6.60,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,3.0,pkg,Tomato Cheery Mex 1 pt,Food,N,$3.25,$9.75,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,4.0,bunch,Green Kale Mex / bunch,Food,N,$1.35,$5.40,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,3.0,bunch,Cilantro US bunch,Food,N,$0.70,$2.10,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,1.0,case,Arrugula/Rucola/Rockets Uca 4X1# yvr,Food,N,$46.95,$46.95,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,1.0,pkg,herb Thyme 2 oz pkg eh,Food,N,$3.75,$3.75,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,1.0,case,Avocado Hass 20 **Turning*,Food,N,$32.60,$32.60,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,1.0,lot,Spring Mix UCa 2x1# yvr pt,Food,N,$16.95,$16.95,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,1.0,case,Eggs Large white 15dz / case,Food,N,$55.65,$55.65,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,1.0,box,**50 HEADS** Roma Tomato Mex / pound,Food,N,$20.90,$20.90,6/15/2021,Produce1,No Size,908045,6,30
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,6/15/2021,Produce1,No Size,908045,6,30
TT-SWB-LWG,1.0,CS,GREASE PROOF SANDWICH BAG (WHITE),Food,G,$27.05,$28.40,6/15/2021,Produce6,1000/CS,193424,6,30
TT-CU-6KNF,1.0,CS,"PLASTIC KNIFE 6""",Others,G,$10.45,$10.97,6/16/2021,Produce6,1000/CS,193424,6,30
No_Item_No,1.0,No Unit,Safeway Kengsinton glocery,Drinks,N,$28.11,$28.11,6/17/2021,Grocery2,No Size,No_Invoice_No,6,30
CA71,1.0,No Unit,DARK CHOCOLATE CALLETS,Drinks,N,$26.50,$26.50,6/17/2021,Produce4,2.5KG,71656837,6,30
BSHTUSC11,1.0,No Unit,GUYS-TUSCANY COUNTRY VEG SOUP,Food,N,$37.85,$37.85,6/17/2021,Produce4,4/64OZ,71656837,6,30
BR52401,1.0,No Unit,STRUDEL LEEK & PARM RTB BRIODOR,Pastry,N,$64.65,$64.65,6/17/2021,Produce4,36/110G,71656837,6,30
SN01611,1.0,No Unit,MUFF BATT MAPLE WALNUT 19720,Pastry,N,$29.50,$29.50,6/17/2021,Produce4,16LB,71656837,6,30
SN01595,1.0,No Unit,MUFF BATT LEMON POPPY 19701,Pastry,N,$27.25,$27.25,6/17/2021,Produce4,16LB,71656837,6,30
STY5719,1.0,No Unit,BREAD SOURDOUGH HALF LOAF,Food,N,$35.40,$35.40,6/17/2021,Produce4,16/460G,71656837,6,30
STY2793,2.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$30.23,$60.46,6/17/2021,Produce4,8X8/85G,71656837,6,30
No_Item_No,1.0,No Unit,fuel surcharge,Food,G,$4.73,$4.73,6/17/2021,Produce4,No Size,71656837,6,30
GSMA72,1.0,No Unit,MACARONS PANIFRANCE *TRAY*,Others,N,$61.50,$61.50,6/17/2021,Produce4,72/9G(tray),71656898,6,30
PHI-COLA,16.0,BTL,PHILLIPS SODA WORKS - SPEEDKING CRAFT COLA 341ml,Drinks,G,$1.42,$23.86,6/17/2021,Produce6,"6/PK, 4PK/CS",193424,6,30
No_Item_No,1.0,No Unit,Safeway Kengsinton glocery,Drinks,N,$66.06,$66.06,6/18/2021,Grocery2,No Size,No_Invoice_No,6,30
No_Item_No,1.0,No Unit,Safeway Kengsinton glocery,Drinks,N,$13.96,$13.96,6/18/2021,Grocery2,No Size,No_Invoice_No,6,30
PHI-GIN,16.0,BTL,PHILLIPS SODA WORKS - SPARKMOUTH GINGER ALE 341ml,Drinks,G,$1.42,$23.86,6/18/2021,Produce6,"6/PK, 4PK/CS",193424,6,30
562082,1.0,cs,Salmon-Sockeye-Smoked-Blk,Food,N,$273.00,$273.00,6/18/2021,Produce5,7/715g,No_Invoice_No,6,30
465,1.0,each,P Buffet: Banana Cream Cheese C14,Pastry,N,$14.95,$14.95,6/18/2021,Pastry1,No Size,353143,6,30
502,1.0,each,"P Cheesecake 8"" GF Lemon Blueberry C14",Pastry,N,$20.95,$20.95,6/18/2021,Pastry1,No Size,353143,6,30
602,0.5,doz,P Ind. Carrot Cake,Pastry,N,$35.40,$17.70,6/18/2021,Pastry1,No Size,353143,6,30
252,2.0,each,K Loaf Reduced Fat Cran Omega 3&6 Cut,Pastry,N,$6.96,$13.92,6/18/2021,Pastry1,No Size,353143,6,30
132,0.5,doz,K Bars Blueberry oat,Pastry,N,$12.00,$6.00,6/18/2021,Pastry1,No Size,353143,6,30
115,0.5,doz,K Bars Old Fashion Lemon,Pastry,N,$13.92,$6.96,6/18/2021,Pastry1,No Size,353143,6,30
238,1.0,each,K Loaf Lemon Cut,Pastry,N,$6.96,$6.96,6/18/2021,Pastry1,No Size,353143,6,30
315,0.5,doz,K Cookies Sexy Dark Chocolate,Pastry,N,$12.00,$6.00,6/18/2021,Pastry1,No Size,353143,6,30
312,1.0,doz,K Cookies Peanut Butter Chocolate,Pastry,N,$12.00,$12.00,6/18/2021,Pastry1,No Size,353143,6,30
57,1.0,each,K Loaf Red Velvet Cut,Pastry,N,$6.96,$6.96,6/18/2021,Pastry1,No Size,353143,6,30
155,2.0,each,K FG Loaf Chocolate Pecan Cut 9,Pastry,N,$9.90,$19.80,6/18/2021,Pastry1,No Size,353143,6,30
767,0.5,doz,"P Tartlets 4"" French Butter",Pastry,N,$16.20,$8.10,6/18/2021,Pastry1,No Size,353143,6,30
781,0.5,doz,"P GF Tartlets 4"" Venus Hazelnut",Pastry,N,$25.20,$12.60,6/18/2021,Pastry1,No Size,353143,6,30
No_Item_No,6.0,No Unit,"SUB BUNS 8""",Food,N,$4.45,$53.40,6/18/2021,Bread2,No Size,No_Invoice_No,6,30
0-BCD,32.0,BTL,BC DEPOSIT PER BOTTLE,Drinks,N,$0.05,$1.60,6/19/2021,Produce6,No Size,193424,6,30
0-BCE,32.0,BTL,BC ENVIOR PER BOTTLE,Drinks,G,$1.00,$33.60,6/20/2021,Produce6,No Size,193424,6,30
No_Item_No,12.0,No Unit,Diabolique Espresso Wholesale lbs,Drinks,N,$11.00,$132.00,6/21/2021,Coffee3,No Size,34878,6,30
No_Item_No,7.0,No Unit,The Perfect Storm Wholesale lbs,Drinks,N,$11.00,$77.00,6/21/2021,Coffee3,No Size,34878,6,30
No_Item_No,1.0,No Unit,Decaf Wholesale lbs,Drinks,N,$12.50,$12.50,6/21/2021,Coffee3,No Size,34878,6,30
TE-4CT-21314,1.0,CS,STRONGHOLDER TRAY 4-CUP,Drinks,G,$47.94,$50.34,6/21/2021,Produce6,300/CS,193424,6,30
No_Item_No,1.0,head,Celery Cal 24 /head,Food,N,$1.70,$1.70,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,4.0,bunch,Green Kale Mex / bunch,Food,N,$1.35,$5.40,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,1.0,lot,Spring Mix UCa 2x1# yvr pt,Food,N,$16.95,$16.95,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,3.0,bag,Red ONION Jumbo US 5# bag,Food,N,$4.75,$14.25,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,1.0,bag,Red Pepper HH BC 3# bag,Food,N,$6.60,$6.60,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,3.0,pkg,Tomato Cheery Mex 1 pt,Food,N,$1.70,$5.10,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,9.0,pound,**40 HEADS** Roma Tomato Mex / pound,Food,N,$1.80,$16.20,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,1.0,case,Arrugula/Rucola/Rockets Uca 4X1# yvr,Food,N,$46.95,$46.95,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,1.0,pkg,herb Thyme 2 oz pkg eh,Food,N,$3.75,$3.75,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,1.0,case,Eggs Large white 15dz / case,Food,N,$55.65,$55.65,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,2.0,pkg,Fine(Table) Hygrade K Salt 1K shr,Food,N,$2.49,$4.98,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,1.0,pkg,sugar White Fine granulated rogers 1K,Food,N,$2.99,$2.99,6/22/2021,Produce1,No Size,908548,6,30
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,6/22/2021,Produce1,No Size,908548,6,30
1484567,1.0,No Unit,OIL CANOLA JIB,Food,N,$39.72,$39.72,6/22/2021,Produce3,16LTR 1 UNIT,1361747,6,30
4607362,1.0,No Unit,MAYONNAISE EXTRA HVY W. CANADA,Food,N,$32.35,$32.35,6/22/2021,Produce3,3.78L 2 UNITS,1361747,6,30
496034,1.0,No Unit,FILM PVC ROLL 2000FT SLI CUTR,Food,N,$42.22,$42.22,6/22/2021,Produce3,18IN 1 UNIT,1361747,6,30
7098971,2.0,No Unit,POTATO SWEET DICED 3/4,Food,N,$79.06,$158.12,6/22/2021,Produce3,5LB 2 UNITS,1361747,6,30
No_Item_No,1.0,No Unit,fuel surcharge,Food,G,$11.26,$11.26,6/22/2021,Produce3,No Size,1361747,6,30
PJBA-0006,2.0,No Unit,Morning Glory,Drinks,N,$21.00,$42.00,6/23/2021,Juice1,6x12oz,38435,6,30
PJAB-0012,2.0,No Unit,Recover Shot,Drinks,N,$25.00,$50.00,6/23/2021,Juice1,12x2oz,38435,6,30
SBRB-0006,1.0,No Unit,Bottle Deposit Fee,Drinks,G,$4.32,$4.32,6/23/2021,Juice1,No Size,38435,6,30
TT-HTB16,1.0,CS,PETE CLEAR COLD CUP 16oz,Drinks,G,$99.50,$104.48,6/23/2021,Produce6,1000/CS,194290,6,30
CA73,1.0,No Unit,CHOCOLATE WHITE W2 CALLET,Drinks,N,$32.25,$32.25,6/24/2021,Produce4,2.5KG,71660042,6,30
BSHRUS1,1.0,No Unit,GUYS-RUSSIA WHITE BROSCHT SOUP,Food,N,$37.85,$37.85,6/24/2021,Produce4,4/64OZ,71660042,6,30
BSHTUSC11,1.0,No Unit,GUYS-TUSCANY COUNTRY VEG SOUP,Food,N,$37.85,$37.85,6/24/2021,Produce4,4/64OZ,71660042,6,30
SN01600,1.0,No Unit,MUFF BATT APPLE CINNAMON 19707,Pastry,N,$27.25,$27.25,6/24/2021,Produce4,16LB,71660042,6,30
SN01601,1.0,No Unit,MUFF BATT BLUEBERRY 19708,Pastry,N,$27.25,$27.25,6/24/2021,Produce4,16LB,71660042,6,30
SN04019,1.0,No Unit,MUFF BATT CINNAMON COFF 19727,Pastry,N,$29.50,$29.50,6/24/2021,Produce4,16LB,71660042,6,30
STY5719,1.0,No Unit,BREAD SOURDOUGH HALF LOAF,Food,N,$35.40,$35.40,6/24/2021,Produce4,16/460G,71660042,6,30
STY2793,1.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$30.23,$30.23,6/24/2021,Produce4,8X8/85G,71660042,6,30
No_Item_No,1.0,No Unit,fuel surcharge,Food,G,$4.73,$4.73,6/24/2021,Produce4,No Size,71660042,6,30
TT-HTB16,0.0,CS,PETE CLEAR COLD CUP 16oz,Drinks,G,$83.48,$0.00,6/24/2021,Produce6,1000/CS,194433,6,30
PT-MFTK0905,1.0,CS,MOTIF MULTIFOLD TOWEL (KRAFT),Others,S,$26.39,$27.71,6/24/2021,Produce6,4008/CS,194433,6,30
MON-LAV,1.0,BTL,MONIN - LAVENDER SYRUP (750ml),Drinks,N,$8.80,$8.80,6/24/2021,Produce6,12/CS,194433,6,30
MON-STW,1.0,BTL,MONIN - STRAWBERRY SYRUP (750ml),Drinks,N,$8.80,$8.80,6/24/2021,Produce6,12/CS,194433,6,30
MON-MAN,2.0,BTL,MONIN - MANGO SYRUP (750ml),Drinks,N,$8.80,$17.60,6/24/2021,Produce6,12/CS,194433,6,30
MON-LEM,2.0,BTL,MONIN - LEMON SYRUP (750ml),Drinks,N,$8.80,$17.60,6/24/2021,Produce6,12/CS,194433,6,30
EP-PWS,1.0,BOX,"INDIV. WRAP COMPOSTABLE STRAW 8""X5MM - CLEAR",Drinks,G,$8.85,$9.29,6/24/2021,Produce6,"300/BX, 12BX/CS",194433,6,30
TT-B2636,1.0,CS,"REGLAR GARBAGE BAG - BLACK 26X36""",Others,S,$24.68,$27.64,6/24/2021,Produce6,250/CS,194433,6,30
No_Item_No,6.0,No Unit,"SUB BUNS 8""",Food,N,$4.45,$53.40,6/24/2021,Bread2,No Size,No_Invoice_No,6,30
No_Item_No,1.0,head,Celery Cal 24 /head,Food,N,$1.70,$1.70,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,1.0,bag,Red Pepper HH BC 3# bag,Food,N,$6.60,$6.60,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,6.0,pkg,Tomato Cheery Mex 1 pt,Food,N,$1.70,$10.20,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,8.0,pound,**40 HEADS** Roma Tomato Mex / pound,Food,N,$1.80,$14.40,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,4.0,bunch,Green Kale Mex / bunch,Food,N,$1.35,$5.40,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,1.0,pkg,herb Thyme 2 oz pkg eh,Food,N,$3.75,$3.75,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,1.0,lot,Spring Mix UCa 2x1# yvr pt,Food,N,$16.95,$16.95,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,1.0,pkg,Fine(Table) Hygrade K Salt 1K shr,Food,N,$2.49,$2.49,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,2.0,jug,Vinegar White Allens 4L jug,Food,N,$5.30,$10.60,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,1.0,unit,spice Black Pepper Crack 6-7 mesh454gshr,Food,N,$19.50,$19.50,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,1.0,case,Eggs Large white 15dz / case,Food,N,$55.65,$55.65,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,6/25/2021,Produce1,No Size,908964,6,30
No_Item_No,1.0,No Unit,Safeway Kengsinton glocery,Drinks,N,$56.55,$56.55,6/25/2021,Grocery2,No Size,No_Invoice_No,6,30
No_Item_No,1.0,No Unit,Safeway Kengsinton glocery,Drinks,N,$10.75,$10.75,6/27/2021,Grocery2,No Size,No_Invoice_No,6,30
No_Item_No,4.0,bunch,Green Kale Mex / bunch,Food,N,$1.35,$5.40,6/28/2021,Produce1,No Size,909136,6,30
No_Item_No,1.0,bale,Spring Mix UCa 2x1# yvr pt,Food,N,$17.45,$17.45,6/28/2021,Produce1,No Size,909136,6,30
No_Item_No,3.0,bag,Red oNION Jumbo US 5# bag,Food,N,$4.75,$14.25,6/28/2021,Produce1,No Size,909136,6,30
No_Item_No,6.0,pkg,Tomato Cheery Mex 1 pt,Food,N,$1.70,$10.20,6/28/2021,Produce1,No Size,909136,6,30
No_Item_No,8.0,pound,**40 HEADS** Roma Tomato Mex / pound,Food,N,$1.45,$11.60,6/28/2021,Produce1,No Size,909136,6,30
No_Item_No,4.0,bag,Arrugula/Rucola/Rockets Uca 4X1# yvr,Food,N,$12.95,$51.80,6/28/2021,Produce1,No Size,909136,6,30
No_Item_No,1.0,case,Avocado Hass 20 **Turning*,Food,N,$32.60,$32.60,6/28/2021,Produce1,No Size,909136,6,30
